ASV IDs,Species.names,CC1o,CC2o,CC3o,WS1o,WS2o,WS3o,CS1o,CS2o,CS3o,CSK1o,CSK2o,CSK3o,AB1o,AB2o,AB3o,FP1o,FP2o,FP3o,CC1,CC2,CC3,WS1,WS2,WS3,CS1,CS2,CS3,CSK1,CSK2,CSK3,AB1,AB2,AB3,PF1,PF2,PF3,Genus names
ASV25,Pseudomonas putida,543,569,705,0,36,0,0,0,0,0,0,0,276,333,170,163,0,99,0,0,0,0,0,0,120,150,149,0,0,0,0,0,0,0,67,0,Pseudomonas
ASV71,Pseudomonas putida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,79,68,0,0,0,0,0,0,0,0,0,Pseudomonas
ASV4,Ralstonia pickettii,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21021,22910,22684,Ralstonia
ASV58,Rhizobium oryziradicis,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,17,27,0,0,0,105,74,88,0,0,0,0,0,0,0,0,0,Rhizobium
ASV41,Rhodococcus qingshengii,8,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,8,4,39,34,35,281,276,235,0,6,0,0,0,0,0,0,4,Rhodococcus
ASV53,Rhodococcus zopfii ,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,125,129,0,0,0,0,0,0,0,0,0,Rhodococcus
ASV68,Shinella kummerowiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,13,0,0,0,0,0,0,0,89,148,Shinella
ASV75,Solibacillus isronensis,37,27,33,0,0,0,0,0,0,0,0,0,5,11,0,1,0,0,0,0,0,0,0,0,31,31,22,0,0,0,0,0,0,0,0,0,Solibacillus
ASV30,Sphingobacterium multivorum,181,184,170,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,79,61,0,0,0,502,528,528,0,0,0,0,0,0,0,0,0,Sphingobacterium
ASV39,Sphingobacterium multivorum,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,369,386,367,0,0,0,0,0,0,0,0,0,Sphingobacterium
ASV42,Sphingobacterium multivorum,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,11,59,0,0,0,0,0,300,259,267,0,0,0,0,0,0,0,0,0,Sphingobacterium
ASV49,Sphingomonas koreensis,19,16,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,4,10,0,0,0,161,153,162,0,0,0,0,0,0,0,0,0,Sphingomonas
ASV51,Sphingomonas mali ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,145,148,165,0,0,0,0,6,0,0,0,0,Sphingomonas
ASV12,Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5945,6013,5880,243,240,193,20,16,13,0,0,0,0,0,0,Stenotrophomonas
ASV23,Stenotrophomonas maltophilia,165,156,217,0,0,0,0,0,0,0,0,0,33,25,36,17,28,0,125,124,120,104,146,120,1045,1068,946,0,0,0,0,0,0,0,0,0,Stenotrophomonas
ASV31,Stenotrophomonas maltophilia,39,75,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,63,64,99,117,134,427,414,376,0,0,0,0,0,0,0,0,0,Stenotrophomonas
ASV40,Stenotrophomonas maltophilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,39,46,41,343,303,288,0,0,0,0,0,0,0,0,0,Stenotrophomonas
ASV48,Stenotrophomonas maltophilia,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,205,187,0,0,0,0,0,0,0,0,0,Stenotrophomonas
ASV84,Stutzerimonas stutzeri,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,60,43,0,0,0,0,0,0,0,0,0,Stutzerimonas
