"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.65435534605803,0.151761495350439,10.9010216474073,5.83546116382542e-26,1.35647598645592,1.95223470566014
"MAP",-0.000168131219302906,6.5753259204834e-05,-2.55700206097991,0.0107338114146289,-0.00029719253817341,-3.90699004324027e-05
"TS",-0.000481911160899859,0.000144200960198558,-3.34194141451132,0.000868970901483355,-0.000764950607623598,-0.000198871714176119
